Title,User Rating %,Genres,Cast
Mufasa: The Lion King,75,"['Adventure', 'Family', 'Animation']","['Aaron Pierre, as Mufasa (voice)', 'Kelvin Harrison Jr., as Taka (voice)', 'Tiffany Boone, as Sarabi (voice)', 'Kagiso Lediga, as Young Rafiki (voice)', 'Preston Nyman, as Zazu (voice)', 'Blue Ivy Carter, as Kiara (voice)', 'John Kani, as Rafiki (voice)', 'Mads Mikkelsen, as Kiros (voice)', 'Seth Rogen, as Pumbaa (voice)']"
Moana 2,72,"['Animation', 'Adventure', 'Family', 'Comedy']","['Auliʻi Cravalho, as Moana (voice)', 'Dwayne Johnson, as Maui (voice)', 'Hualālai Chung, as Moni (voice)', 'Rose Matafeo, as Loto (voice)', 'David Fane, as Kele (voice)', 'Awhimai Fraser, as Matangi (voice)', 'Khaleesi Lambert-Tsuda, as Simea (voice)', 'Temuera Morrison, as Chief Tui (voice)', 'Nicole Scherzinger, as Sina (voice)']"
Sonic the Hedgehog 3,78,"['Action', 'Science Fiction', 'Comedy', 'Family']","['Jim Carrey, as Ivo Robotnik / Gerald Robotnik', 'Ben Schwartz, as Sonic (voice)', 'Keanu Reeves, as Shadow (voice)', 'Idris Elba, as Knuckles (voice)', ""Colleen O'Shaughnessey, as Tails (voice)"", 'James Marsden, as Tom', 'Tika Sumpter, as Maddie', 'Lee Majdoub, as Agent Stone', 'Krysten Ritter, as Director Rockwell']"
Amaran,76,"['Action', 'Drama', 'Adventure', 'War']","['Sivakarthikeyan, as Major Mukund Varadarajan', 'Sai Pallavi, as Indhu Rebecca Varghese', 'Rahul Bose, as Colonel Amit Singh Dabas', 'Bhuvan Arora, as Vikram Singh', 'Lallu Prasath, as Ravi Shankar', ""Shyam Mohan, as Indhu's brother"", 'Mir Salman, as Saifudeen K', 'Shyamaprasad, as R. Varadarajan', 'Geetha Kailasam, as Geetha Varadarajan']"
Captain America: Brave New World,62,"['Action', 'Thriller', 'Science Fiction']","['Anthony Mackie, as Sam Wilson / Captain America', 'Harrison Ford, as President Thaddeus Ross', 'Danny Ramirez, as Joaquin Torres', 'Shira Haas, as Ruth Bat-Seraph', 'Tim Blake Nelson, as Samuel Sterns', 'Carl Lumbly, as Isaiah Bradley', 'Giancarlo Esposito, as Sidewinder', 'Liv Tyler, as Betty Ross', 'Xosha Roquemore, as Leila Taylor']"
The Gorge,78,"['Romance', 'Science Fiction', 'Thriller']","['Miles Teller, as Levi', 'Anya Taylor-Joy, as Drasa', 'Sigourney Weaver, as Bartholomew', 'Sope Dirisu, as J.D.', 'William Houston, as Erikas', 'Kobna Holdbrook-Smith, as Black Ops Commander', 'James Marlowe, as Bradford Shaw', 'Julianna Kurokawa, as Airman', 'Ruta Gedmintas, as WWII Scientist']"
Panda Plan,72,"['Action', 'Comedy']","['Jackie Chan, as Jackie', 'Shi Ce, as Su Xiaozhu', 'Wei Xiang, as David', 'Han Yanbo, as Cha Kun', 'Danny Ray, as Harry', 'Xu Juncong, as Lone Wolf', 'Andy Friend, as Garden Manager', 'Huang Yuntong, as Female Chief', 'Jia Bing, as Ice Cream Shop owner']"
Flight Risk,58,"['Action', 'Thriller', 'Crime']","['Michelle Dockery, as Madolyn Harris', 'Mark Wahlberg, as Daryl Booth', 'Topher Grace, as Winston', 'Leah Remini, as Caroline Van Sant (voice)', 'Paul Ben-Victor, as Director Coleridge (voice)', 'Maaz Ali, as Hasan (voice)', 'Monib Abhat, as Hasan', 'Eilise Patton, as Janine', 'Senor Pablo, as Bush Pilot']"
My Fault: London,75,"['Romance', 'Drama']","['Asha Banks, as Noah', 'Matthew Broome, as Nick', 'Eve Macklin, as Ella', 'Ray Fearon, as William', 'Enva Lewis, as Jenna', 'Jason Flemyng, as Travis', 'Kerim Hassan, as Lion', 'Sam Buchanan, as Ronnie', 'Amelia Kenworthy, as Anna']"
Kraven the Hunter,67,"['Action', 'Adventure', 'Thriller']","['Aaron Taylor-Johnson, as Sergei Kravinoff / Kraven the Hunter', 'Ariana DeBose, as Calypso Ezili', 'Fred Hechinger, as Dmitri Kravinoff', 'Alessandro Nivola, as Aleksei Sytsevich', 'Christopher Abbott, as The Foreigner', 'Russell Crowe, as Nikolai Kravinoff', 'Yuri Kolokolnikov, as Semyon Chorney', 'Levi Miller, as Young Sergei', 'Tom Reed, as Bert']"
