Title,User Rating %,Genres,Cast
Paddington in Peru,69,"['Family', 'Adventure', 'Comedy']","['Ben Whishaw, as Paddington Brown (voice)', 'Hugh Bonneville, as Henry Brown', 'Emily Mortimer, as Mary Brown', 'Samuel Joslin, as Jonathan Brown', 'Madeleine Harris, as Judy Brown', 'Antonio Banderas, as Hunter Cabot', 'Olivia Colman, as Reverend Mother', 'Julie Walters, as Mrs. Bird', 'Jim Broadbent, as Samuel Gruber']"
Death Whisperer 2,70,"['Horror', 'Thriller', 'Action']","['Nadech Kugimiya, as Yak', 'Ongart Cheamcharoenpornkul, as Sergeant Paphan', 'Kajbhunditt Jaidee, as Yos', 'Peerakrit Phacharaboonyakiat, as Yod', 'Denise Jelilcha Kapaun, as Yad', 'Rattanawadee Wongtong, as Yam', 'Nutthacha Padovan, as Yee', 'Paramej Noiam, as Hang', 'Arisara Wongchalee, as Boonyen']"
The Island,63,"['Action', 'Crime', 'Thriller']","['Michael Jai White, as Mark', 'Jackson Rathbone, as Phil', 'Gillian White, as Akilah', 'Edoardo Costa, as Manuel', 'Wayne Gordon, as Wayland', 'Amber Townsend, as Carla', 'Cami Storm, as Nora', 'Victor Young, as Gang Member']"
The Brutalist,70,['Drama'],"['Adrien Brody, as László Tóth', 'Felicity Jones, as Erzsébet Tóth', 'Guy Pearce, as Harrison Lee Van Buren Sr.', 'Joe Alwyn, as Harry Lee', 'Raffey Cassidy, as Zsófia', 'Stacy Martin, as Maggie Lee', 'Isaach de Bankolé, as Gordon', 'Alessandro Nivola, as Attila', 'Ariane Labed, as Older Zsófia']"
Alarum,58,"['Action', 'Crime', 'Thriller']","['Scott Eastwood, as Joe Travers', 'Sylvester Stallone, as Chester', 'Willa Fitzgerald, as Lara Travers', 'Mike Colter, as Orlin', 'D.W. Moffett, as Ronald Burbridge', 'Isis Valverde, as Bridgette Rousseau', 'Joel Cohen, as Roland Rousseau', 'Mark Polish, as CIA Agent Kirby', 'Anton Narinskiy, as Krol']"
Venom: The Last Dance,68,"['Action', 'Science Fiction', 'Adventure']","['Tom Hardy, as Eddie Brock / Venom', 'Chiwetel Ejiofor, as Strickland', 'Juno Temple, as Dr. Teddy Paine', 'Rhys Ifans, as Martin', 'Stephen Graham, as Detective Mulligan', 'Peggy Lu, as Mrs. Chen', 'Clark Backo, as Sadie', 'Alanna Ubach, as Nova', 'Cristo Fernández, as Barman']"
Sniper: The Last Stand,67,"['Action', 'Thriller']","['Chad Michael Collins, as Brandon Beckett', 'Ryan Robbins, as Zero', 'Sharon Taylor, as Hera', 'Manuel Rodriguez-Saenz, as Nova', 'Vusi Kunene, as Modise', 'Sizo Mahlangu, as Zondi', 'Noxolo Dlamini, as Angel', 'Arnold Vosloo, as Kovalov', 'Rob van Vuuren, as Maxim']"
Back in Action,65,"['Action', 'Comedy']","['Jamie Foxx, as Matt', 'Cameron Diaz, as Emily', 'McKenna Roberts, as Alice', 'Rylan Jackson, as Leo', 'Kyle Chandler, as Chuck', 'Glenn Close, as Ginny', 'Jamie Demetriou, as Nigel', 'Andrew Scott, as Baron', 'Fola Evans-Akingbola, as Wendy']"
Companion,71,"['Horror', 'Science Fiction', 'Thriller', 'Comedy']","['Sophie Thatcher, as Iris', 'Jack Quaid, as Josh', 'Lukas Gage, as Patrick', 'Megan Suri, as Kat', 'Harvey Guillén, as Eli', 'Rupert Friend, as Sergey', 'Jaboukie Young-White, as Teddy', 'Matthew J. McCarthy, as Sid', 'Marc Menchaca, as Deputy Hendrix']"
Gladiator II,68,"['Action', 'Adventure', 'Drama']","['Paul Mescal, as Lucius', 'Denzel Washington, as Macrinus', 'Pedro Pascal, as General Acacius', 'Connie Nielsen, as Lucilla', 'Joseph Quinn, as Emperor Geta', 'Fred Hechinger, as Emperor Caracalla', 'Lior Raz, as Viggo', 'Derek Jacobi, as Gracchus', 'Peter Mensah, as Jugurtha']"
Wolf Man,65,"['Horror', 'Thriller']","['Christopher Abbott, as Blake Lovell', 'Julia Garner, as Charlotte Lovell', 'Matilda Firth, as Ginger Lovell', 'Sam Jaeger, as Grady Lovell', 'Ben Prendergast, as Wolf', 'Benedict Hardie, as Derek', 'Zac Chandler, as Young Blake', 'Milo Cawthorne, as Man', 'Leigh Whannell, as Dan (voice)']"
Devara: Part 1,71,"['Action', 'Drama']","['N.T. Rama Rao Jr., as Devara / Vara', 'Saif Ali Khan, as Bhaira', 'Prakash Raj, as Singappa', 'Srikanth, as Rayappa', 'Kalaiyarasan, as Kunjara', ""Shruti Marathe, as Devara's Wife"", 'Janhvi Kapoor, as Thangam', 'Shine Tom Chacko, as Kora', 'Ajay, as Officer Shiva']"
Elevation,64,"['Action', 'Science Fiction', 'Thriller']","['Anthony Mackie, as Will', 'Morena Baccarin, as Nina', 'Maddie Hasson, as Katie', 'Danny Boyd Jr., as Hunter', 'Rachel Nicks, as Tara', 'Shauna Earp, as Hannah', 'Tyler Grey, as Tim', 'Drexel Malkoff, as Nina’s Son (uncredited)', 'David Malkoff, as Nina’s Husband (uncredited)']"
Dog Man,77,"['Family', 'Animation', 'Comedy', 'Action']","[""Peter Hastings, as Dog Man / Officer Knight / Harold's House (voice)"", 'Pete Davidson, as Petey the Cat (voice)', 'Lil Rel Howery, as Chief (voice)', 'Isla Fisher, as Sarah Hatoff (voice)', ""Lucas Hopkins Calderon, as Li'l Petey (voice)"", 'Ricky Gervais, as Flippy (voice)', 'Poppy Liu, as Butler (voice)', 'Stephen Root, as Grampa (voice)', 'Billy Boyd, as Seamus (voice)']"
Solo Leveling -ReAwakening-,68,"['Action', 'Adventure', 'Fantasy', 'Animation']","['Taito Ban, as Shun Mizushino (voice) (archive footage)', 'Genta Nakamura, as Kenta Morobishi (voice) (archive footage)', 'Haruna Mikawa, as Aoi Mizushino (voice) (archive footage)', 'Reina Ueda, as Shizuku Kousaka (voice) (archive footage)', 'Daisuke Hirakawa, as Shin Mogami (voice) (archive footage)', 'Hiroki Touchi, as Taiga Shirakawa (voice) (archive footage)', 'Banjo Ginga, as Kiyoomi Goto (voice) (archive footage)', 'Makoto Furukawa, as Akira Inukai (voice) (archive footage)']"
Star Trek: Section 31,48,"['Science Fiction', 'Adventure', 'Action', 'Drama', 'TV Movie']","['Michelle Yeoh, as Philippa Georgiou', 'Omari Hardwick, as Alok Sahar', 'Sam Richardson, as Quasi', 'Kacey Rohl, as Rachel Garrett', 'Sven Ruygrok, as Fuzz', 'Robert Kazinsky, as Zeph', 'Humberly González, as Melle', 'James Hiroyuki Liao, as San', 'Miku Martineau, as Young Georgiou']"
The Gardener,63,"['Action', 'Comedy']","['Jean-Claude Van Damme, as Léo', 'Michaël Youn, as Serge Shuster', 'Nawell Madani, as Mia', 'Carla Poquin, as Alice', 'Jérôme Le Banner, as Phoebus', 'Ragnar Le Breton, as Esmeralda', 'Kaaris, as Quasimodo', 'Studio Danielle, as Jeanne', 'Élie Semoun, as Dr Rouma']"
Werewolves,62,"['Action', 'Horror', 'Thriller']","['Frank Grillo, as Dr. Wesley Marshall', 'Katrina Law, as Dr. Amy Chen', 'Ilfenesh Hadera, as Lucy Marshall', 'Jimmy Cummings, as Cody', 'Lou Diamond Phillips, as Dr. Aranda', 'Kamdynn Gary, as Emma Marshall', 'Lydia Styslinger, as Reagan', 'Daniel Fernandez, as Evan Radcliffe', 'James Kyson, as Miles Chen']"
Nosferatu,67,"['Horror', 'Fantasy']","['Lily-Rose Depp, as Ellen Hutter', 'Nicholas Hoult, as Thomas Hutter', 'Bill Skarsgård, as Count Orlok', 'Aaron Taylor-Johnson, as Friedrich Harding', 'Willem Dafoe, as Prof. Albin Eberhart von Franz', 'Emma Corrin, as Anna Harding', 'Ralph Ineson, as Dr. Wilhelm Sievers', 'Simon McBurney, as Herr Knock', 'Adéla Hesová, as Clara']"
Piglet,58,['Horror'],"['Alina Desmond, as Kate', 'Alex Butler, as Piglet', 'Lauren Staerck, as Alex', 'Valery Danko, as Judith', 'Shayli Reagan, as Susie', 'Jamie Langlands, as Gage', 'Tyler Winchcombe, as Officer Burke', 'Alina Varakuta, as Dianne', 'Max Arlott, as Security Guard']"
Bridget Jones: Mad About the Boy,68,"['Comedy', 'Drama', 'Romance']","['Renée Zellweger, as Bridget Jones', 'Chiwetel Ejiofor, as Scott Walliker', ""Leo Woodall, as Roxby 'Roxster' McDuff"", 'Hugh Grant, as Daniel Cleaver', 'Jim Broadbent, as Colin Jones', 'Gemma Jones, as Pamela Jones', 'Colin Firth, as Mark Darcy', 'Sarah Solemani, as Miranda', 'Josette Simon, as Talitha']"
The Substance,71,"['Horror', 'Science Fiction']","['Demi Moore, as Elisabeth', 'Margaret Qualley, as Sue', 'Dennis Quaid, as Harvey', 'Edward Hamilton-Clark, as Fred', 'Gore Abrams, as Oliver', 'Oscar Lesage, as Troy', 'Christian Erickson, as Man at Diner', 'Robin Greer, as Male Nurse', 'Tom Morton, as Doctor']"
My Fault,78,"['Romance', 'Drama']","['Nicole Wallace, as Noah Morgan', 'Gabriel Guevara, as Nick Leister', 'Marta Hazas, as Rafaela', 'Iván Sánchez, as William Leister', 'Eva Ruiz, as Jenna', 'Víctor Varona, as Lion', 'Fran Berenguer, as Ronnie', 'Adriana Ubani, as Anna', 'Ivan Massagué, as Jonas']"
Despicable Me 4,71,"['Animation', 'Family', 'Comedy', 'Science Fiction']","['Steve Carell, as Gru (voice)', 'Kristen Wiig, as Lucy (voice)', 'Will Ferrell, as Maxime (voice)', 'Sofía Vergara, as Valentina (voice)', 'Miranda Cosgrove, as Margo (voice)', 'Dana Gaier, as Edith (voice)', 'Madison Polan, as Agnes (voice)', 'Pierre Coffin, as Minions (voice)', 'Chris Renaud, as Principal Übelschlecht (voice)']"
Le clitoris,71,"['Animation', 'Documentary']","['Lori Malépart-Traversy, as Narrator (voice)']"
Flow,83,"['Animation', 'Fantasy', 'Adventure']",[]
The Wailing,61,['Horror'],"['Ester Expósito, as Andrea', 'Mathilde Ollivier, as Marie', 'Malena Villa, as Camila', 'José Luis Ferrer, as Hombre de Negro', 'Claudia Roset, as Sara', 'Lía Lois, as Laura', 'Sonia Almarcha, as Mercedes', 'Tomás del Estal, as Gonzalo', 'Lautaro Bettoni, as Adolfo']"
The Witcher: Sirens of the Deep,71,"['Animation', 'Fantasy', 'Action']","['Doug Cockle, as Geralt (voice)', 'Joey Batey, as Jaskier / Young Jaskier (voice)', 'Christina Wren, as Essi (voice)', ""Emily Carey, as Sh'eenaz (voice)"", 'Camrus Johnson, as Agloval (voice)', 'Simon Templeman, as King Usveldt (voice)', 'Mallory Jansen, as Melusina / Princess Nispen (voice)', 'Anya Chalotra, as Yennefer (voice)', 'Ray Chase, as Zelest (voice)']"
Red One,71,"['Action', 'Fantasy', 'Comedy']","['Dwayne Johnson, as Callum Drift', ""Chris Evans, as Jack O'Malley"", 'Lucy Liu, as Zoe', 'J.K. Simmons, as Nick', 'Bonnie Hunt, as Mrs. Claus', 'Kristofer Hivju, as Krampus', 'Kiernan Shipka, as Gryla', 'Mary Elizabeth Ellis, as Olivia', 'Wesley Kimmel, as Dylan']"
The Lord of the Rings: The War of the Rohirrim,67,"['Animation', 'Fantasy', 'Adventure', 'Family', 'Action']","['Brian Cox, as Helm Hammerhand (voice)', 'Gaia Wise, as Héra (voice)', 'Luke Pasqualino, as Wulf (voice)', 'Laurence Ubong Williams, as Fréaláf (voice)', 'Lorraine Ashbourne, as Olwyn (voice)', 'Miranda Otto, as Éowyn (voice)', 'Shaun Dooley, as Freca (voice)', 'Benjamin Wainwright, as Haleth (voice)', 'Yazdan Qafouri, as Háma (voice)']"
Jugaremos en el bosque,74,['Horror'],"['Lucía Gómez-Robledo, as Josefina', 'Alejandro Cuétara, as Curo Francisco', 'Julieta Egurrola, as Rosa', 'Arturo Ripstein, as Don Francisco (Patriarca)', 'Lucía Uribe, as Mariana', 'Alonso Navarro, as Tomás', 'Carolina Torres, as María']"
Raiders of the Lost Ark,79,"['Adventure', 'Action']","['Harrison Ford, as Indiana Jones', 'Karen Allen, as Marion Ravenwood', 'Paul Freeman, as Dr. René Belloq', 'John Rhys-Davies, as Sallah', 'Ronald Lacey, as Major Arnold Toht', 'Wolf Kahler, as Colonel Dietrich', 'Anthony Higgins, as Gobler', 'Denholm Elliott, as Dr. Marcus Brody', 'Alfred Molina, as Satipo']"
Deadpool & Wolverine,76,"['Action', 'Comedy', 'Science Fiction']","['Ryan Reynolds, as Wade Wilson / Deadpool / Nicepool', 'Hugh Jackman, as Logan / Wolverine', 'Emma Corrin, as Cassandra Nova', 'Matthew Macfadyen, as Mr. Paradox', 'Dafne Keen, as Laura / X-23', 'Jon Favreau, as Happy Hogan', 'Morena Baccarin, as Vanessa', 'Rob Delaney, as Peter', 'Leslie Uggams, as Blind Al']"
Ball Red Daughter-in-law,54,['Drama'],[]
Ne Zha 2,79,"['Animation', 'Fantasy', 'Adventure']","['Lü Yanting, as Young Nezha (voice)', 'Joseph, as Youth Nezha / Jie Jie Shou Left (voice)', 'Han Mo, as Ao Bing (voice)', 'Chen Hao, as Li Jing (voice)', 'Lü Qi, as Mrs. Yin (voice)', 'Zhang Jiaming, as Tai Yi Zhen Ren (voice)', 'Yang Wei, as Shen Gong Bao (voice)', 'Wang Deshun, as Wu Liang Xian Weng (voice)', 'Yu Chen, as Dong Hai Long Wang Ao Guang / Seller (voice)']"
The Wild Robot,83,"['Animation', 'Science Fiction', 'Family']","[""Lupita Nyong'o, as Roz / Rummage (voice)"", 'Pedro Pascal, as Fink (voice)', 'Kit Connor, as Brightbill (voice)', 'Bill Nighy, as Longneck (voice)', 'Stephanie Hsu, as Vontra (voice)', 'Matt Berry, as Paddler (voice)', 'Ving Rhames, as Thunderbolt (voice)', 'Mark Hamill, as Thorn (voice)', ""Catherine O'Hara, as Pinktail (voice)""]"
Your Fault,71,"['Romance', 'Drama']","['Nicole Wallace, as Noah Morgan', 'Gabriel Guevara, as Nick Leister', 'Marta Hazas, as Rafaela', 'Iván Sánchez, as William Leister', 'Eva Ruiz, as Jenna', 'Víctor Varona, as Lion', 'Gabriela Andrada, as Sofía', 'Alex Bejar, as Briar', 'Goya Toledo, as Anabel']"
Sex Game 6969,61,"['Comedy', 'Drama', 'Romance']","['Woo Yeol, as Jin-hui (지희)', 'So Jeong, as Hyo-ji (효지)', 'Lee Chae-dam, as Old Beauty', 'Kim Soo-ji, as Eun-hee (은희)', 'Yoo Jung, as Hyun-jeong (현정)']"
Memoir of a Snail,76,"['Animation', 'Drama', 'Comedy']","['Sarah Snook, as Grace (voice)', 'Kodi Smit-McPhee, as Gilbert (voice)', 'Jacki Weaver, as Pinky (voice)', 'Magda Szubanski, as Ruth Appleby (voice)', 'Dominique Pinon, as Percy Pudel (voice)', 'Tony Armstrong, as Ken (voice)', 'Paul Capsis, as Ian / Narelle (voice)', 'Eric Bana, as James the Magistrate (voice)', 'Bernie Clifford, as Owen Appleby (voice)']"
Absolution,59,"['Action', 'Crime', 'Thriller']","['Liam Neeson, as Thug', 'Ron Perlman, as Charlie Conner', 'Yolonda Ross, as Woman', 'Frankie Shaw, as Daisy', 'Daniel Diemer, as Kyle Conner', 'Javier Molina, as Gamberro', 'Jimmy Gonzales, as Diego Machado', ""Josh Drennen, as Thug's Dad"", 'Deanna Tarraza, as Araceli']"
Apocalypse Z: The Beginning of the End,67,"['Drama', 'Action', 'Horror']","['Francisco Ortiz, as Manel', 'José María Yázpik, as Pritchenko', 'Berta Vázquez, as Lucía', 'Iria del Río, as Julia', 'Marta Poveda, as Belén', 'Amalia Gómez, as Gabriela', 'María Salgueiro, as Sister Cecilia', 'Yuri Mykhaylychenko, as Ushakov', 'Ian Monclús, as Max']"
Aftermath,65,"['Action', 'Thriller']","['Dylan Sprouse, as Eric Daniels', ""Mason Gooding, as Jimmy 'Romeo' Roken"", ""Dichen Lachman, as Samantha 'Doc' Brown"", 'Megan Stott, as Madeleine Daniels', 'Kevin Chapman, as Inspector Terry Grimes', 'Will Lyman, as Joe Kozak', 'Tanner Zagarino, as Tango', 'Mark Irvingsen, as Wisdom', 'Mark Pettograsso, as Yankee']"
Number 24,70,"['War', 'History', 'Drama']","['Sjur Vatne Brean, as Gunnar Sønsteby (young)', 'Erik Hivju, as Gunnar Sønsteby (old)', 'Philip Helgar, as Edvard Tallaksen', 'Magnus Dugdale, as Andreas Aubert', 'Jakob Maanum Trulsen, as Erling Solheim', 'Jacob Jensen, as Jens Christian Hauge', 'Flo Fagerli, as Anne Solheim', 'Ines Høysæter Asserson, as Reidun Andersen', 'Lisa Loven Kongsli, as Gudrun Collett']"
Ask Me What You Want,61,"['Romance', 'Drama']","['Gabriela Andrada, as Judith Flores', 'Mario Ermito, as Eric Zimmerman', 'Celia Freijeiro, as Mónica', 'David Solans, as Miguel', 'Alba Ribas, as Frida', 'Joel Bosqued, as Andrés', 'Alicia Bercan, as Rebeca / Betta', 'Anna Karinvinge, as Amanda', 'Fernando Oyagüez, as Fernando']"
Inside Out 2,76,"['Animation', 'Adventure', 'Comedy', 'Family']","['Amy Poehler, as Joy (voice)', 'Maya Hawke, as Anxiety (voice)', 'Kensington Tallman, as Riley (voice)', 'Liza Lapira, as Disgust (voice)', 'Tony Hale, as Fear (voice)', 'Lewis Black, as Anger (voice)', 'Phyllis Smith, as Sadness (voice)', 'Ayo Edebiri, as Envy (voice)', 'Lilimar, as Valentina (voice)']"
Anora,70,"['Drama', 'Comedy', 'Romance']","['Mikey Madison, as Ani', 'Mark Eydelshteyn, as Ivan', 'Yura Borisov, as Igor', 'Karren Karagulian, as Toros', 'Vache Tovmasyan, as Garnik', 'Luna Sofía Miranda, as Lulu', 'Lindsey Normington, as Diamond', 'Darya Ekamasova, as Galina Zakharov', 'Aleksey Serebryakov, as Nikolai Zakharov']"
Dirty Angels,62,"['Action', 'Drama', 'Thriller', 'War']","['Eva Green, as Jake', 'Maria Bakalova, as The Bomb', 'Ruby Rose, as Medic', 'Reza Brojerdi, as Malik', 'Jojo T. Gibbs, as Geek', 'Emily Bruni, as Shooter', 'Aziz Çapkurt, as Abbas', ""Rona-Lee Shim'on, as Rocky"", 'George Iskandar, as Amir']"
Kingdom IV: Return of the Great General,69,"['Action', 'Adventure']","['Kento Yamazaki, as Ri Shin (Li Xin)', 'Takao Osawa, as Ou Ki (Wang Qi)', 'Ryo Yoshizawa, as Ei Sei (Yin Zheng)', 'Kanna Hashimoto, as Ka Ryo Ten (He Liao Diao)', 'Nana Seino, as Kyou Kai (Qiang Lei)', 'Shinnosuke Mitsushima, as Heki (Bi)', 'Amane Okayama, as Bi Hei (Wei Ping)', 'Takahiro Miura, as Bi Tou (Wei Dao)', 'Takayuki Hamatsu, as Taku Kei (Ze Gui)']"
Alien: Romulus,72,"['Horror', 'Science Fiction']","['Cailee Spaeny, as Rain', 'David Jonsson, as Andy', 'Archie Renaux, as Tyler', 'Isabela Merced, as Kay', 'Spike Fearn, as Bjorn', 'Aileen Wu, as Navarro', 'Rosie Ede, as WY Officer', 'Soma Simon, as 10-Year-Old Punk #1', 'Bence Okeke, as 10-Year-Old Punk #2']"
Dhoom Dhaam,63,"['Comedy', 'Romance', 'Action']","['Yami Gautam, as Koyal Chadda', 'Pratik Gandhi, as Veer Poddar', 'Eijaz Khan, as Harshwardhan Sathe', 'Mukul Chadda, as Sanjay Riberio', 'Pavitra Sarkar, as Bhide', 'Anand Vikas Potdukhe, as Pradeep Kadam', 'Sahil Gangurde, as Mukesh', 'Kavin Dave, as Khushwant Kapoor', 'Prateik Babbar, as Arya']"
Chasing the Wind,53,['Romance'],"['Hande Erçel, as Aslı Mansoy', 'Barış Arduç, as Ege Yazıcı', 'Gözde Mutluer, as Yasemin', 'Tuğrul Tülek,', 'Şebnem Sönmez,', 'Barış Aytaç, as Yaman', 'Olimpia Ahenk, as Sirma', 'Ahmet Saraçoğlu, as Arif', 'Serhat Nalbantoğlu, as Nazmi']"
Jurassic World Dominion,67,"['Adventure', 'Action', 'Science Fiction']","['Chris Pratt, as Owen Grady', 'Bryce Dallas Howard, as Claire Dearing', 'Laura Dern, as Ellie Sattler', 'Sam Neill, as Alan Grant', 'Jeff Goldblum, as Ian Malcolm', 'DeWanda Wise, as Kayla Watts', 'Mamoudou Athie, as Ramsay Cole', 'Isabella Sermon, as Maisie Lockwood / Young Charlotte Lockwood', 'Campbell Scott, as Lewis Dodgson']"
Babygirl,57,['Drama'],"['Nicole Kidman, as Romy', 'Harris Dickinson, as Samuel', 'Antonio Banderas, as Jacob', 'Esther-Rose McGregor, as Isabel', 'Sophie Wilde, as Esme', 'Vaughan Reilly, as Nora', 'Victor Slezak, as Mr. Missel', 'Leslie Silva, as Hazel', 'Gaite Jansen, as Hedda / Scarlett']"
The Most Beautiful Girl in the World,65,"['Comedy', 'Drama', 'Romance']","['Reza Rahadian, as Reuben Wiraatmadja', 'Sheila Dara, as Kiara Clarissa', 'Kevin Julio, as Jimmy Setiawan', 'Indra Birowo, as Agung Santoso', 'Jihane Almira, as Helen Kusuma', 'Bucek Depp, as Gunadi Wiraatmadja', 'Ira Wibowo, as Anna Wiraatmadja', 'Frederika Cull, as Anggie Sukma', 'Dea Panendra, as Dita Hadiwijaya']"
"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",71,"['Adventure', 'Family', 'Fantasy']","['William Moseley, as Peter Pevensie', 'Anna Popplewell, as Susan Pevensie', 'Skandar Keynes, as Edmund Pevensie', 'Georgie Henley, as Lucy Pevensie', 'Liam Neeson, as Aslan (voice)', 'Tilda Swinton, as White Witch', 'James McAvoy, as Mr. Tumnus', 'Jim Broadbent, as Prof. Digory Kirke', 'Ray Winstone, as Mr. Beaver (voice)']"
Wicked,69,"['Drama', 'Romance', 'Fantasy']","['Cynthia Erivo, as Elphaba', 'Ariana Grande, as Galinda / Glinda', 'Jeff Goldblum, as The Wonderful Wizard of Oz', 'Michelle Yeoh, as Madame Morrible', 'Jonathan Bailey, as Fiyero', 'Ethan Slater, as Boq', 'Marissa Bode, as Nessarose', 'Peter Dinklage, as Dr. Dillamond (voice)', 'Andy Nyman, as Governor Thropp']"
Skin. Like. Sun.,56,['Romance'],"['Wim van Damme, as Self', 'Floor Wyns, as Self']"
Elyas,62,"['Action', 'Thriller']","['Roschdy Zem, as Elyas', 'Laëtitia Eïdo, as Amina', 'Nabil Elouahabi, as El Saïd', 'Sherwan Haji, as Jamal', 'Dimitri Storoge, as Yann', 'Jeanne Michel, as Nour', 'Frédéric Maranber, as Brabus', 'Aguibou Ba, as Noah', 'Leonid Glushchenko, as Francis']"
Azrael,60,"['Action', 'Horror', 'Thriller']","['Samara Weaving, as Azrael', 'Vic Carmen Sonne, as Miriam', 'Katariina Unt, as Josefine', 'Peter Christoffersen, as Demian', 'Nathan Stewart-Jarrett, as Kenan', 'Johhan Rosenberg, as Anton', 'Eero Milonoff, as Luther', 'Sebastian Bull Sarning, as Isaac', 'Rea Lest, as Liesl']"
Belyas,10,['Drama'],"['Audrey Avila, as Josefa', 'Dani Yoshida, as Ara', 'Denise Esteban, as Vilma', 'Matthew Francisco, as Ian', 'JD Aguas, as Customer #1', 'RJ Zozobrado, as Customer #2']"
