Title,Company,Company_Rating,Company_Reviews,Location,Salary_Range,Experience,Post_Day,Tags,Description
Data Scientist,Crisil,3.7,1446,"['Mumbai', 'Pune']",Not disclosed,8-12 Yrs,30+ Days Ago,"['Assoiate Diretor', 'Computer vision', 'Mahine learning', 'GCP', 'Flex', 'Monitoring', 'SQL', 'Python']",". A bachelors or masters degree in computer science, statistics, mathematics, engineeri..."
Data Scientist,Kla Tencor,4.0,63,['Chennai'],Not disclosed,4-8 Yrs,30+ Days Ago,"['Supply chain', 'Data analysis', 'Business analytics', 'Machine learning', 'Predictive modeling', 'Customer service', 'Data mining', 'Semiconductor manufacturing']","Skills and Qualifications: . bachelors degree (or equivalent) in computer science, stat..."
Data Scientist,Photon,4.0,1451,['Chennai'],Not disclosed,4-8 Yrs,30+ Days Ago,"['deep learning', 'Coding', 'GCP', 'Cloud Services', 'Machine learning', 'Programming', 'Data structures', 'Natural language processing']","Bachelor s or Master of Science Degree in Computer Science, or related field Required 5..."
Data Scientist,Crisil,3.7,1446,"['Mumbai', 'Pune']",Not disclosed,3-6 Yrs,30+ Days Ago,"['Computer vision', 'deep learning', 'Data analysis', 'Mahine learning', 'data siene', 'Cloud', 'Artifiial Intelligene', 'Deployment']",". A bachelors or masters degree in computer science, statistics, mathematics, engineeri..."
Data Engineer & Data Scientist,Fusion Plus Solutions Inc,No rating,No reviews,['Hyderabad'],Not disclosed,2-6 Yrs,30+ Days Ago,"['deep learning', 'data science', 'devops', 'Machine learning', 'Data collection', 'Infrastructure', 'Deployment', 'Budgeting']",Good knowledge in Deep learning and NLP on Client algorithms and their usage Working ex...
Data Scientist (Credit Risk),PayU India,No rating,No reviews,"['Mumbai', 'Gurugram']",Not disclosed,2-6 Yrs,30+ Days Ago,"['Cloud computing', 'data science', 'Bfsi', 'Underwriting', 'Machine learning', 'Stakeholder management', 'Financial services', 'SQL']","A degree in Statistics, Computer Science, Mathematics or other similar quantitative fie..."
Data Scientist,Norstella,No rating,No reviews,"['Kolkata', 'Mumbai', 'New Delhi', 'Hyderabad', 'Pune', 'Chennai', 'Bengaluru']",Not disclosed,5-10 Yrs,21 Days Ago,"['Data analysis', 'Usage', 'GIT', 'data science', 'Data modeling', 'data security', 'Machine learning', 'Troubleshooting']","For any produced model, they must also be able to deploy the model in the cloud, with l..."
Data Scientist,Agilite Global Solutions,4.0,7,"['Kolkata', 'Mumbai', 'New Delhi', 'Hyderabad', 'Pune', 'Chennai', 'Bengaluru']",Not disclosed,5-10 Yrs,28 Days Ago,"['Data analysis', 'Usage', 'GIT', 'data science', 'Data modeling', 'data security', 'Machine learning', 'Troubleshooting']",They should be able to identify opportunities for data science models which could be pr...
NLP Data Scientist AI Real World Data (RWD),Norstella,No rating,No reviews,"['Kolkata', 'Mumbai', 'New Delhi', 'Hyderabad', 'Pune', 'Chennai', 'Bengaluru']",Not disclosed,2-7 Yrs,21 Days Ago,"['Computer science', 'Health insurance', 'Pharma', 'Analytical', 'Machine learning', 'HIPAA', 'Healthcare', 'Life sciences']",We are seeking a skilled NLP data scientist with a focus on language models to join o...
Data Scientist with LLM Background,Rarr Technologies,4.1,10,"['Kolkata', 'Mumbai', 'New Delhi', 'Hyderabad', 'Pune', 'Chennai', 'Bengaluru']",Not disclosed,2-5 Yrs,24 Days Ago,"['Statistical analysis', 'data science', 'Machine learning', 'Programming', 'Natural language processing', 'Research', 'Statistics', 'Python']",Position Overview: We are looking for three skilled Data Scientists with experience in ...
Data Scientist,Codvo,3.7,40,"['Mumbai', 'Delhi / NCR', 'Bengaluru']",Not disclosed,2-5 Yrs,28 Days Ago,"['NLP', 'Machine Learning', 'Deep Learning', 'Pytorch', 'Theano', 'Pyspark', 'data science', 'Azure Databricks']",Working with Azure Databricks platform is preferred) . Advanced knowledge in handling T...
Data Scientist,Spearhead,1.4,3,"['Kolkata', 'Mumbai', 'New Delhi', 'Hyderabad', 'Pune', 'Chennai', 'Bengaluru']",Not disclosed,5-10 Yrs,30+ Days Ago,"['development testing', 'Coding', 'Manager Technology', 'HTTP', 'Business applications', 'big data', 'AWS', 'Solution Architect']","Required Skills and Experience: . Bachelordegree in computer science, mathematics, stat..."
Data Scientist,Futurism Technologies,3.6,68,"['Kolkata', 'Mumbai', 'New Delhi', 'Hyderabad', 'Pune', 'Chennai', 'Bengaluru']",Not disclosed,2-4 Yrs,30+ Days Ago,"['Data analysis', 'Google Analytics', 'Django', 'MySQL', 'Machine learning', 'Data mining', 'Business solutions', 'SQL']",Experience in data architecture and advanced machine learning and Deep learning techniq...
Data Scientist,Preceptors IT and Business Solutions,No rating,No reviews,"['Kolkata', 'Mumbai', 'New Delhi', 'Hyderabad', 'Pune', 'Chennai', 'Bengaluru']",Not disclosed,3-6 Yrs,30+ Days Ago,"['algorithms', 'python', 'project management', 'modeling', 'data analysis', 'data analytics', 'preventive maintenance', 'business solutions']",Preceptors IT and Business Solutions is looking for Data Scientist to join our dynamic ...
Data Scientist,Response Informatics,3.7,21,"['Kolkata', 'Mumbai', 'New Delhi', 'Hyderabad', 'Pune', 'Chennai', 'Bengaluru']",Not disclosed,2-6 Yrs,30+ Days Ago,['Data Scientist'],Response Informatics is looking for Data Scientist to join our dynamic team and embark ...
Data Scientist,Superior Electric Machines,No rating,No reviews,"['Mumbai', 'Chennai', 'Bengaluru']",Not disclosed,9-14 Yrs,19 Days Ago,"['python', 'Hive', 'scenario analysis', 'data mining', 'Hadoop', 'statistical models', 'data scientist', 'Spark']",Experience creating and using advanced machine learning algorithms and statistics: regr...
Data Scientist - SageMaker,Winning Edge,2.5,3,"['Bengaluru', 'Karnataka']",Not disclosed,5-9 Yrs,25 Days Ago,"['SageMaker', 'gensim', 'Java', 'scikit-learn', 'TensorFlow or PyTorch', 'spacy', 'NLP', 'CoreNLP']","Required/Proven experience with the following:o Designing, developing, and researching ..."
Data Scientist,Microsoft,4.1,1515,['Bengaluru'],Not disclosed,4-7 Yrs,26 Days Ago,"['Publishing', 'Business analytics', 'Analytical', 'Data quality', 'Windows', 'microsoft', 'Troubleshooting', 'Distribution system']",". Bachelors Degree in Computer Science, Math, Software Engineering, Computer Engineerin..."
Data scientist,Soho Dragon,4.8,8,['Bengaluru'],Not disclosed,4-11 Yrs,26 Days Ago,"['Machine learning', 'Agile', 'model development', 'Natural language processing', 'data visualization', 'microsoft', 'Predictive analytics', 'Monitoring']",Collaborate with cross-functional teams to identify opportunities for AI and Data to...
Data Scientist (Time series Forecasting),Evnek,No rating,No reviews,"['Mumbai', 'Delhi / NCR', 'Bengaluru']",Not disclosed,4-6 Yrs,28 Days Ago,"['Sales Forecasting', 'Price Strategy', 'arima', 'LSTM', 'Pandas', 'pricing strategy', 'time series', 'Scikit']","Proven experience with time series forecasting techniques (ARIMA, Prophet, LSTM, etc.)...."
Data Scientist,Dsights Consultancy Services,No rating,No reviews,['Bengaluru'],Not disclosed,2-4 Yrs,30 Days Ago,"['Machine Learning', 'Predictive Modeling', 'Statistical Modeling', 'Predictive Analytics', 'Statistics', 'Predictive', 'Data', 'Modeling']","Bachelors or masters degree in economics, Computer Science, Statistics, Mathematics, or..."
Data Scientist - LLM,Course5 Intelligence,4.0,341,"['Gurugram', 'Bengaluru', 'Mumbai (All Areas)']",18-25 Lacs PA,3-7 Yrs,26 Days Ago,"['Azure', 'Natural Language Processing', 'LLM', 'Machine Learning', 'Python', 'Data Science', 'Processing', 'Data']","Bachelors or Master s degree in a relevant field such as Computer Science, Data Science..."
Data Scientist,Emmes,No rating,No reviews,['Bengaluru'],Not disclosed,3-8 Yrs,30+ Days Ago,"['deep learning', 'Machine learning', 'Programming', 'Infrastructure', 'Clinical research', 'model development', 'Natural language processing', 'Public health']","3 to 8 years of experience as a Data Scientist or similar role, with a strong focus on ..."
Data Scientist,Vayuz Technologies,4.0,25,['Bengaluru'],Not disclosed,4-8 Yrs,20 Days Ago,"['Data Science', 'AI/ML', 'NLP', 'Image processing', 'LLM', 'Processing', 'Data', 'Natural language processing']",Proficient in Machine Learning / Deep Learning / Natural Language Processing / Image pr...
Data Scientist - Marketing and data analytics,Vayuz Technologies,4.0,25,['Bengaluru'],Not disclosed,5-7 Yrs,20 Days Ago,"['GCP', 'Data science', 'Marketing Analytics', 'Data Analytics', 'Google BigQuery', 'Vertex AI', 'Google Cloud Platform', 'Campaign Analytics']","Masters in Statistics, Data Science, or related field/ MBA in Marketing with provenLeve..."
Data scientist - Rental Operations (REN00414),Pretium Partners,3.1,8,['Bengaluru'],Not disclosed,2-4 Yrs,20 Days Ago,"['Data analysis', 'Operational excellence', 'Quantitative research', 'Project management', 'risk modeling', 'Machine learning', 'Customer experience', 'Stakeholder management']","Bachelor s Degree required in a mathematics-based discipline such as Engineering, Mathe..."
Data Scientist,Winning Edge,2.5,3,['Bengaluru'],Not disclosed,7-10 Yrs,21 Days Ago,"['R', 'Azure', 'AWS', 'Python', 'SQL', 'Tensorflow', 'Spark MLlib', 'PyTorch']","*Bachelor & degree or higher in Computer Science, Statistics, Mathematics, Engineering,..."
Data Scientist,Xcel Hires Managment Solutions Pvt Ltd,No rating,No reviews,['Bengaluru'],Not disclosed,3-8 Yrs,21 Days Ago,"['Computer science', 'Computer vision', 'deep learning', 'Statistical modeling', 'Machine learning', 'Programming', 'Transformers', 'HR']",Guide junior / intern data scientistsBachelor s or Master s degree in Computer Science ...
Data Scientist,Winning Edge,2.5,3,['Bengaluru'],Not disclosed,8-10 Yrs,22 Days Ago,"['R', 'Azure', 'AWS', 'Python', 'SQL', 'Tensorflow', 'Pytorch', 'Data']","*Bachelor & degree or higher in Computer Science, Statistics, Mathematics, Engineering,..."
Data Scientist,Vikara.ai,3.9,7,['Remote'],30-45 Lacs PA,5-10 Yrs,22 Days Ago,"['Artificial Intelligence', 'Frontend Development', 'Google Cloud Platforms', 'Machine Learning', 'Python', 'Data Science', 'Backend', 'Docker']","AWS: EC2, ECR, ECS, Lambda, Cloud Watch, Batch, S3 We find AI has a multiplier effect o..."
Data Scientist (1),Blubirch,3.1,48,['Bengaluru'],Not disclosed,5-10 Yrs,30+ Days Ago,"['Computer science', 'PDF', 'Data management', 'data science', 'Machine learning', 'Deployment', 'Scientist 1', 'Data mining']",". Must haves (Skills) . Advanced degree in data science, statistics, computer science, ..."
Data Scientist,Diligent Corporation,3.5,29,['Bengaluru'],Not disclosed,2-5 Yrs,24 Days Ago,"['Computer science', 'C', 'Project management', 'Analytical', 'Machine learning', 'Legal', 'Manager Technology', 'Wellness']","Bachelor s degree in Computer Science, Machine Learning, Mathematics, or a related fiel..."
Data Scientist,Winning Edge,2.5,3,['Bengaluru'],Not disclosed,7-10 Yrs,25 Days Ago,"['R', 'Azure', 'AWS', 'Python', 'SQL', 'Tensorflow', 'Spark MLlib', 'PyTorch']","*Bachelor & degree or higher in Computer Science, Statistics, Mathematics, Engineering,..."
Data scientist & Generative AI,Smart Wealth,5.0,2,"['Delhi / NCR', 'Bengaluru']",Not disclosed,5-10 Yrs,25 Days Ago,"['Generative AI', 'Data science', 'cloud', 'Gen AI', 'Azure', 'NLP', 'ML and LLM', 'AWS']","Resource should have good exposure of cloud (AWS , Azure or GCP )Should have a good NLP..."
Remote opportunity For Data Scientists,Navikenz,3.5,17,['Remote'],Not disclosed,5-8 Yrs,25 Days Ago,"['Data Science', 'Predictive Modeling', 'GenAI', 'Natural Language Processing', 'Tensorflow', 'Pytorch', 'Machine Learning', 'Deep Learning']","Masters / Bachelors in Computer Science, Mathematics, Statistics, AI, Data Science or r..."
Data Scientist,Global Pharma Tek,3.3,21,['Bengaluru'],Not disclosed,2-6 Yrs,30+ Days Ago,"['Computer vision', 'deep learning', 'Consulting', 'Machine learning', 'Data processing', 'Natural language processing', 'Forecasting', 'Analytics']",Deep Learning Model Development experience is a must for this role . . Understanding bu...
Data Scientist,Youtrip,No rating,No reviews,['Bengaluru'],Not disclosed,2-3 Yrs,30+ Days Ago,"['Computer science', 'Excel', 'Statistical analysis', 'Analytical', 'Consulting', 'Hypothesis Testing', 'data visualization', 'Forecasting']",Minimum requirements: . 2-3 years relevant work experience . A Bachelor s and / or Mast...
"Data Scientist Specialist (NLP, LLM, and GenAI)",Nasdaq,3.9,76,['Bengaluru'],Not disclosed,7-9 Yrs,27 Days Ago,"['Selection process', 'Computer science', 'Health insurance', 'GIT', 'Financial markets', 'Version control', 'Linux', 'Flex']","Ambitious and enthusiastic about working in a fast-paced, startup style environment . B..."
Data Scientist - Python,Ginger Partners,No rating,No reviews,['Bengaluru'],Not disclosed,3-6 Yrs,28 Days Ago,"['Python', 'Data Science', 'OpenCV', 'Data Scientist', 'Data Management', 'MATLAB', 'Machine Learning', 'Numpy']","As a data scientist at wakefit, you will be an integral contributor to our research-foc..."
Data Scientist,Xoom,No rating,No reviews,"['Chennai', 'Bengaluru']",Not disclosed,4-7 Yrs,28 Days Ago,"['Computer science', 'Automation', 'Operational risk', 'Wellness', 'Risk management', 'IFRS', 'Stakeholder management', 'Financial services']",Bachelor / master s degree in quantitative area strongly preferred - including mathemat...
Data Scientist,Sparkcognition,4.2,9,['Bengaluru'],Not disclosed,3-5 Yrs,30+ Days Ago,"['Operational excellence', 'Renewable energy', 'Performance management', 'GCP', 'Machine learning', 'Cloud', 'Workflow', 'Genetics']","You ll have: . Masters in Data Science, Statistics, Engineering or related fields or 3-..."
Data Scientist,Aurigo Software Technologies,4.8,472,"['Kolkata', 'Mumbai', 'New Delhi', 'Hyderabad', 'Pune', 'Chennai', 'Bengaluru']",Not disclosed,4-8 Yrs,30+ Days Ago,"['deep learning', 'Product engineering', 'SQL database', 'Machine learning', 'Cloud', 'Natural language processing', 'Data mining', 'AWS']",We are looking for a data engineering manager in our Product Engineering team ...
Data Scientist,Virtue Sources,No rating,No reviews,['Bengaluru'],Not disclosed,5-8 Yrs,30+ Days Ago,"['Computer science', 'Automation', 'Machine learning', 'Information retrieval', 'Natural language processing', 'AWS', 'Analytics', 'SQL']",Shift: Regular Dayshift (10am - 7PM) Might extend based on requirement. Relevant profes...
Data Scientist,Bizviz Technologies,2.7,25,['Bengaluru'],Not disclosed,3-7 Yrs,30+ Days Ago,"['ERP', 'Data analysis', 'SAS', 'Simulation', 'Analytical', 'Machine learning', 'Healthcare', 'Data mining']","Engage in data mining, algorithm development, statistical analysis, regression, and mac..."
Data Scientist,Paktolus Solutions,3.8,28,['Bengaluru'],Not disclosed,5-7 Yrs,30+ Days Ago,"['Computer science', 'Computer vision', 'GCP', 'Machine learning', 'Performance testing', 'Stored procedures', 'Troubleshooting', 'Monitoring']","Design, develop and deploy machine learning models, algorithms and systems to solv..."
Data Scientist,Netcore Cloud,4.2,191,['Bengaluru'],Not disclosed,3-5 Yrs,30+ Days Ago,"['Prototype', 'Brand Ambassador', 'Machine learning', 'Programming', 'Data structures', 'Information retrieval', 'Natural language processing', 'Data mining']","You will have the opportunity to build models across different verticals (fashion, ho..."
Data Scientist,Ducker Worldwide Management Consulting,3.9,5,['Bengaluru'],Not disclosed,2-3 Yrs,30+ Days Ago,"['Excel', 'Statistical analysis', 'Analytical', 'Consulting', 'Hypothesis Testing', 'data visualization', 'Forecasting', 'SQL']",Minimum requirements: . 2-3 years relevant work experience . A Bachelor s and / or Mast...
Data Scientist,Elevate Global,4.3,3,['Bengaluru'],Not disclosed,2-3 Yrs,30+ Days Ago,"['Computer science', 'Excel', 'Statistical analysis', 'Analytical', 'Consulting', 'Hypothesis Testing', 'data visualization', 'Forecasting']",2-3 years relevant work experience . A Bachelor s and / or Master s in Computer Science...
"Data Scientist, Cyber Risk",Safe Security,2.5,24,['Bengaluru'],Not disclosed,1-3 Yrs,30+ Days Ago,"['Computer science', 'Data modeling', 'Event management', 'risk modeling', 'Risk assessment', 'Machine learning', 'SIEM', 'Data quality']","Minimum 1-3 years of experience in data science, machine learning, or a relevant domain..."
Data Scientist- Marketing Mix,Course5 Intelligence,4.0,341,"['Hybrid', 'Gurgaon/Gurugram', 'Bangalore/Bengaluru', 'Mumbai (All Areas)']",15-25 Lacs PA,4-7 Yrs,26 Days Ago,"['Insights', 'Market Mix Modelling', 'cpg', 'Mmm', 'statistics', 'Modeling', 'Marketing', 'Marketing Mix']","5 - 10 years of experience of working with analytical companies, Consulting companies, ..."
Data Scientist,BDB.AI,1.7,3,['Bengaluru'],Not disclosed,3-8 Yrs,30+ Days Ago,"['ERP', 'Data analysis', 'SAS', 'Simulation', 'Analytical', 'Machine learning', 'Healthcare', 'Data mining']","Engage in data mining, algorithm development, statistical analysis, regression, and mac..."
Data Scientist,Ecolab Digital Center (EDC),3.6,93,['Bengaluru'],Not disclosed,2-5 Yrs,30+ Days Ago,"['Data analysis', 'data science', 'Project management', 'Deployment', 'Mathematics', 'Research', 'Statistics', 'Supervision']","Contributes to the exploration, refinement and deployment of data science solutions. Ed..."
Data Scientist-Deep Learning/Transformer,Response Informatics,3.7,21,"['Kolkata', 'Mumbai', 'New Delhi', 'Hyderabad', 'Pune', 'Chennai', 'Bengaluru']",Not disclosed,8-10 Yrs,30+ Days Ago,"['image processing', 'python', 'natural language processing', 'scikit-learn', 'neural networks', 'machine learning', 'artificial intelligence', 'text analytics']",Response Informatics is looking for Data Scientist-Deep Learning/Transformer to join ou...
Data Scientist,Clean Harbors,3.7,225,['Hyderabad'],Not disclosed,2-5 Yrs,18 Days Ago,"['Data Analysis', 'Advanced Excel', 'Data analytics', 'Python', 'SQl', 'Google Analytics', 'Adobe Analytics', 'Analytics']",Title: Data Scientist - E-CommerceExperience: 2-3 YearsLocation: Bengaluru Work from of...
Data Scientist,Everest Vacuum,4.7,30,['Bengaluru'],Not disclosed,3-7 Yrs,30+ Days Ago,"['Product management', 'Data analysis', 'Talent acquisition', 'GCP', 'Artificial Intelligence', 'Service engineering', 'Machine learning', 'Cloud']",. 3+ years of Work experience working with python and must have build predictive model ...
Data Scientist,Ingersoll Rand,4.2,340,['Bengaluru'],Not disclosed,4-8 Yrs,30+ Days Ago,"['Product management', 'Data analysis', 'Talent acquisition', 'GCP', 'Artificial Intelligence', 'Service engineering', 'Machine learning', 'Cloud']",. 3+ years of Work experience working with python and must have build predictive model ...
Data Scientist,Winning Edge,2.5,3,"['Bengaluru', 'Karnataka']",Not disclosed,7-10 Yrs,17 Days Ago,"['Data Science', 'Pytorch', 'R', 'Azure', 'GCP', 'AWS', 'Python', 'SQL']","*Bachelor & degree or higher in Computer Science, Statistics, Mathematics, Engineering,..."
Data Scientist,Winning Edge,2.5,3,['Bengaluru'],Not disclosed,7-10 Yrs,18 Days Ago,"['Data Science', 'Pytorch', 'R', 'Azure', 'Data visualization', 'AWS', 'Python', 'SQL']","*Bachelor & degree or higher in Computer Science, Statistics, Mathematics, Engineering,..."
Data Scientist,Idc Engineering,3.9,30,['Bengaluru'],Not disclosed,6-10 Yrs,17 Days Ago,"['Power Bi', 'Aws Cloud', 'Snowflake', 'Python', 'SQL', 'Azure Cloud', 'Bi', 'Cloud']",Job Description: Data ScientistExperience: 6 - 10 YearsLocation: Bangalore & ChennaiNot...
Data Scientist,Semicab - Collaborative Transportation Platform,No rating,No reviews,['Bengaluru'],Not disclosed,2-6 Yrs,30+ Days Ago,"['Machine learning', 'Deployment', 'Data', 'Machine']",SemiCab - Collaborative Transportation Platform is looking for Data Scientist to join o...
Expert Data Scientist,Radware Ltd,3.3,19,['Bengaluru'],Not disclosed,5-6 Yrs,30+ Days Ago,"['Data analysis', 'cyber security', 'GCP', 'Analytical', 'Machine learning', 'data visualization', 'Analytics', 'SQL']","Bachelor s or Master s degree in Data Science, Computer Science, Statistics, Mathematic..."
Data Scientist,Sumeru Digital Solutions,4.6,7,['Bengaluru'],Not disclosed,3-8 Yrs,30+ Days Ago,['Data Scientist'],Sumeru Digital Solutions is looking for Data Scientist to join our dynamic team and emb...
Data Scientist,Mongodb,4.1,63,['Bengaluru'],Not disclosed,4-7 Yrs,30+ Days Ago,"['Data management', 'Data modeling', 'Analytical', 'Javascript', 'Application development', 'Forecasting', 'Analytics', 'SQL']",Utilize data to solve complex business challenges and make process improvements   A...
Data Scientist,Digital Glyde,3.8,6,"['Kolkata', 'Mumbai', 'New Delhi', 'Hyderabad', 'Pune', 'Chennai', 'Bengaluru']",Not disclosed,3-7 Yrs,30+ Days Ago,"['Data analysis', 'Operations research', 'Social science', 'Analytical', 'Report writing', 'MySQL', 'Cloud', 'Database']","Ideal candidate should have a degree in a quantitative field mathematics, computer scie..."
Data Scientist,Intersoft Kk,3.2,15,"['Kolkata', 'Mumbai', 'New Delhi', 'Hyderabad', 'Pune', 'Chennai', 'Bengaluru']",Not disclosed,2-5 Yrs,30+ Days Ago,"['Computer vision', 'GCP', 'Artificial Intelligence', 'MySQL', 'Machine learning', 'PHP', 'Data structures', 'SQL']","Bachelors / Masters degree in a quantitative discipline, e.g., Computer Science, Mathem..."
Data Scientist,Response Informatics,3.7,21,"['Kolkata', 'Mumbai', 'New Delhi', 'Hyderabad', 'Pune', 'Chennai', 'Bengaluru']",Not disclosed,4-7 Yrs,30+ Days Ago,"['Training', 'Data analysis', 'data science', 'Machine learning', 'Infrastructure', 'Programming', 'model development', 'Deployment']",The candidate should be able to collaborate effectively with cross-functional teams to ...
Data Scientist,IDESLABS,2.9,11,"['Kolkata', 'Mumbai', 'New Delhi', 'Hyderabad', 'Pune', 'Chennai', 'Bengaluru']",Not disclosed,5-8 Yrs,30+ Days Ago,"['Computer science', 'RDBMS', 'Analytical', 'Machine learning', 'Predictive modeling', 'data visualization', 'Research', 'Business case']",. Must Have Skills . Strong analytical / quantitative background with excellent statist...
Data Scientist,TATA INDUSTRIES LIMITED-TATA INSIGHTS AND QUANTS DIVISON,2.8,65,"['Mumbai', 'Jamshedpur', 'Bengaluru']",Not disclosed,2-7 Yrs,30+ Days Ago,"['Data analysis', 'Data management', 'HTML', 'HTTP', 'Information management', 'Data mining', 'Econometrics', 'Information technology']",Key Responsibilities:  Apply Data Mining Data Analysis methods using a variet...
Data Scientist,Rapid Canvas,No rating,No reviews,"['Kolkata', 'Mumbai', 'New Delhi', 'Hyderabad', 'Pune', 'Chennai', 'Bengaluru']",Not disclosed,4-9 Yrs,30+ Days Ago,"['Computer science', 'Operations research', 'data science', 'GCP', 'Machine learning', 'SAGE', 'Data mining', 'AWS']",graduate degree in Data Science or other quantitative field is preferred . - Deep indus...
Data Scientist,Kashsam Data Solutions,No rating,No reviews,"['Kolkata', 'Mumbai', 'New Delhi', 'Hyderabad', 'Pune', 'Chennai', 'Bengaluru']",Not disclosed,3-7 Yrs,30+ Days Ago,"['Data analysis', 'Coding', 'Process improvement', 'data governance', 'Management', 'Process', 'Improvement', 'Analysis']",Using automated tools to extract data from primary and secondary sources   Removing c...
Data Scientist,MX Technologies,No rating,No reviews,"['Kolkata', 'Mumbai', 'New Delhi', 'Hyderabad', 'Pune', 'Chennai', 'Bengaluru']",Not disclosed,3-5 Yrs,30+ Days Ago,"['Logistic regression', 'Data analysis', 'Analytical', 'Machine learning', 'Data mining', 'Econometrics', 'Operations', 'Team building']",extra points for work focused on customer satisfaction and engagement and / or product ...
Data Scientist,Response Informatics,3.7,21,"['Kolkata', 'Mumbai', 'New Delhi', 'Hyderabad', 'Pune', 'Chennai', 'Bengaluru']",Not disclosed,8-9 Yrs,30+ Days Ago,"['Computer vision', 'deep learning', 'data science', 'Focus', 'Machine learning', 'Programming', 'Natural language processing', 'Python']",Engineering Background is must for this profile  . 8 - 9 years of experience in a data ...
Data Scientist-Deep Learning,Response Informatics,3.7,21,"['Kolkata', 'Mumbai', 'New Delhi', 'Hyderabad', 'Pune', 'Chennai', 'Bengaluru']",Not disclosed,8-9 Yrs,30+ Days Ago,"['Computer vision', 'deep learning', 'data science', 'Focus', 'Machine learning', 'Programming', 'Natural language processing', 'Python']",Engineering Background is must for this profile  . 8 - 9 years of experience in a data ...
NLP Data Scientist - Real World Data (RWD),Agilite Global Solutions,4.0,7,"['Kolkata', 'Mumbai', 'New Delhi', 'Hyderabad', 'Pune', 'Chennai', 'Bengaluru']",Not disclosed,3-8 Yrs,30+ Days Ago,"['Computer science', 'Health insurance', 'Pharma', 'Analytical', 'Agile', 'Healthcare', 'Life sciences', 'Open source']",We are seeking a skilled NLP data scientist with a focus on language models to join...
data scientist,Cognistx,No rating,No reviews,"['Kolkata', 'Mumbai', 'New Delhi', 'Hyderabad', 'Pune', 'Chennai', 'Bengaluru']",Not disclosed,2-7 Yrs,30+ Days Ago,"['Computer science', 'Data analysis', 'NoSQL', 'Machine learning', 'Data collection', 'Business intelligence', 'Data mining', 'MATLAB']",Required Education and Experience . . Masters degree or higher in Computer Science or r...
Data Scientist,FedEx,4.2,1109,"['Hybrid', 'Pune', 'Bengaluru', 'Mumbai (All Areas)']",Not disclosed,2-6 Yrs,15 Days Ago,"['Python', 'SQL', 'GCP', 'Natural Language Processing', 'Regression', 'Clustering', 'AWS', 'Ml Algorithms']","Education MBA / masters in information systems, Computer Science, or a quantitative dis..."
Data Scientist,The It Mind Services,3.2,11,"['Kolkata', 'Mumbai', 'Hyderabad', 'New Delhi', 'Pune', 'Chennai', 'Bengaluru']",Not disclosed,4-12 Yrs,30+ Days Ago,"['Machine learning', 'Data collection', 'data visualization', 'Collections', 'Machine', 'Data']","Undertaking data collection, preprocessing and analysis   Building models to address ..."
Data Scientist,Open Insights,4.2,2,"['Kolkata', 'Mumbai', 'New Delhi', 'Hyderabad', 'Pune', 'Chennai', 'Bengaluru']",Not disclosed,3-6 Yrs,30+ Days Ago,"['C++', 'Linux', 'Agile scrum', 'Machine learning', 'Programming', 'Object oriented programming', 'Statistics', 'SQL']",Developing machine learning models against datasets to generate insights to suppor...
Data Scientist,European Company,No rating,No reviews,"['Hybrid', 'Chennai', 'Bengaluru', 'Mumbai (All Areas)']",45-80 Lacs PA,10-15 Yrs,24 Days Ago,"['AI', 'NLP', 'Predictive Modeling', 'Ui/Ux', 'UX', 'Text Analytics', 'Ai Solutions', 'DL']","Conduct advanced statistical analysis to identify trends, patterns, and insights.Devel..."
Data Scientist,Customerxps Software,4.0,41,"['Mumbai', 'Bengaluru']",Not disclosed,12-15 Yrs,30+ Days Ago,"['Machine learning', 'Data collection', 'data visualization', 'Data', 'Collections', 'Machine']","Undertaking data collection, preprocessing and analysis   Building models to address ..."
Machine Learning Data Scientist - NLP,Forecastera India,3.7,12,"['Hyderabad', 'Bengaluru']",Not disclosed,3-7 Yrs,30+ Days Ago,"['Front end', 'Machine learning', 'Information retrieval', 'Natural language processing', 'Open source', 'Analytics', 'Python', 'Salesforce']","Education: Any graduate / postgraduate with a degree in Computer Science, Statistics, A..."
Data Scientist,Neostats Analytics Solutions,No rating,No reviews,['Bengaluru'],Not disclosed,3-8 Yrs,30+ Days Ago,"['Computer science', 'Data analysis', 'SAS', 'data science', 'MIS', 'Analytical', 'Data analytics', 'Information technology']","We are looking for highly talented Data Scientist to join our team in Bengaluru, Ind..."
Data Scientist,Netcore Cloud,4.2,191,"['Mumbai', 'Bengaluru']",Not disclosed,3-7 Yrs,30+ Days Ago,"['C++', 'Product engineering', 'NoSQL', 'Business analytics', 'Artificial Intelligence', 'MySQL', 'Machine learning', 'MongoDB']","Programming, Machine Learning, Artificial Intelligence, Data Science, Business Analytic..."
Data Scientist - 3,Acko,3.7,397,['Bengaluru'],Not disclosed,4-6 Yrs,30+ Days Ago,"['Computer science', 'deep learning', 'data science', 'Analytical', 'Machine learning', 'Mathematics', 'Customer experience', 'Open source']","Pilot robust experiments and create mechanisms to evaluate model efficacy, pioneering e..."
